file,algo,level,target,n,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
graphstate_indep_none_10_s0.qasm,graphstate,indep,none,10,0.019736042,-0.13188393,0.060625833,0.09556468,0.08437152,-0.08625292,0.010405033,-0.013535221,0.12146352,0.07544015,-0.10434527,0.049476802,-0.10603012,-0.005867443,-0.10114787,-0.063124664,-0.06660394,0.11329285,-0.0066574165,0.15718825,-0.09794397,-0.020888994,-0.03892742,-0.07839055,-0.071267776,-0.16555752,0.15067495,0.026186725,0.19710964,0.22549517,0.03948326,0.041158695,0.01595183,-0.013883203,-0.0350282,-0.07552953,0.181742,-0.08813319,-0.13559492,0.07900404,-0.10240696,0.105483286,0.122830406,-0.052392166,-0.16810197,0.05229162,-0.08433562,0.1533745,0.14695404,0.03679881,-0.041666396,0.0054914807,0.10744728,0.05422381,-0.034882136,0.14565955,-0.03010871,0.21181677,-0.0073400885,0.116606325,-0.14328913,0.2035224,-0.061888713,-0.0099111805,-0.100727536,-0.15828465,-0.09658631,0.006015577,0.0607985,-0.00034007843,0.06659556,0.07674035,-0.23773646,0.07821658,-0.06160948,-0.03500533,-0.16349718,0.017225163,-0.124751106,-0.067571335,0.07696764,0.013594583,-0.05910025,0.13798088,0.021982368,-0.014849188,-0.13790365,0.11273894,0.03596945,-0.004114815,0.047442243,-0.0042857765,0.18235901,-0.076996066,-0.08663262,-0.1729195,-0.111818895,-0.029920796,0.13323562,-0.11979234,-0.058686867,0.09925975,0.0074730217,0.041634195,-0.15229437,0.084008224,0.08137206,0.10637137,0.1703138,0.18324262,0.053444907,0.051008523,0.042599156,0.045983803,0.030550143,-0.17111306,-0.10182811,0.012048996,0.1302683,-0.101840384,-0.08417133,-0.025478264,-0.039886136,0.022238782,0.11640676,0.105635345,-0.13218851,-0.0036063518
graphstate_indep_none_10_s1.qasm,graphstate,indep,none,10,0.018536288,-0.13346201,0.061377466,0.09609107,0.08474067,-0.08713135,0.011802874,-0.012174557,0.12227604,0.07629006,-0.10393587,0.048304737,-0.106286824,-0.0038857376,-0.101868235,-0.064674534,-0.06675418,0.11395386,-0.008106866,0.15858555,-0.09809256,-0.020427251,-0.04040829,-0.079840794,-0.072407916,-0.1657148,0.15202984,0.025632305,0.19831446,0.2250169,0.03868401,0.04241338,0.013484855,-0.012122618,-0.034097135,-0.076595075,0.1828301,-0.088564985,-0.13724428,0.078769736,-0.10293352,0.10844306,0.124013625,-0.05409953,-0.16939843,0.052721813,-0.08333719,0.15388943,0.1471354,0.03719661,-0.042569,0.0055004354,0.108278796,0.0539838,-0.035296544,0.14715514,-0.031840853,0.21298702,-0.0061708326,0.117309846,-0.14500839,0.20471253,-0.06340029,-0.009282936,-0.10069371,-0.15899433,-0.09728392,0.0072034425,0.061333578,-0.0015849231,0.067143105,0.077770025,-0.23989712,0.079420336,-0.062014077,-0.035760958,-0.16319841,0.017453287,-0.12693995,-0.068446055,0.07804468,0.012545364,-0.06132877,0.13689679,0.021108173,-0.015367031,-0.13744625,0.11286174,0.034577228,-0.0022844656,0.047315605,-0.0034636138,0.18233612,-0.07640013,-0.086829476,-0.17432263,-0.11321405,-0.028809574,0.13491827,-0.12116296,-0.057815492,0.0992815,0.0065962845,0.04042146,-0.15356,0.083633386,0.08312845,0.106125064,0.17148376,0.18366122,0.051467016,0.050636444,0.041243866,0.046604957,0.031524293,-0.17270425,-0.10254549,0.0139096975,0.12766352,-0.10146573,-0.08411417,-0.023649625,-0.041478124,0.023764214,0.11715022,0.10667744,-0.1348161,-0.0043802164
graphstate_indep_none_10_s10.qasm,graphstate,indep,none,10,0.02193263,-0.12933488,0.06044633,0.09123253,0.08284094,-0.08258738,0.009016206,-0.012891829,0.121904254,0.075479776,-0.106264986,0.049476843,-0.10493931,-0.0069524627,-0.101478994,-0.0608247,-0.06806365,0.10934539,-0.0061812666,0.15655006,-0.09795822,-0.021948071,-0.036468286,-0.07567941,-0.0684413,-0.16797288,0.1476226,0.025308603,0.19709374,0.2258327,0.040489078,0.03932006,0.018131755,-0.01617048,-0.035850883,-0.07297202,0.17951433,-0.086129814,-0.13141614,0.080129325,-0.102161825,0.10393237,0.12173143,-0.04966869,-0.16455339,0.052155294,-0.08621398,0.15360326,0.14530987,0.033640493,-0.040167578,0.005815502,0.10519462,0.05595231,-0.034532685,0.14566097,-0.025443792,0.21036254,-0.0079847295,0.11670771,-0.143969,0.20130464,-0.061315197,-0.011981159,-0.10289149,-0.15574819,-0.093757525,0.0026730332,0.060943022,-0.0010045469,0.06436044,0.07685643,-0.23767236,0.07593121,-0.06390789,-0.034518123,-0.16841324,0.018537432,-0.123501144,-0.06658699,0.076246835,0.01671446,-0.057431802,0.13670388,0.023207255,-0.012959491,-0.13929719,0.11284779,0.038043756,-0.0040655136,0.047803078,-0.0061475937,0.18011683,-0.07594959,-0.08511841,-0.1728127,-0.112916335,-0.031188343,0.13354398,-0.11999387,-0.06182984,0.09757838,0.006754059,0.042566016,-0.15073213,0.084367745,0.08195755,0.10599103,0.16801149,0.1805354,0.053566933,0.05004794,0.044063732,0.043829545,0.030457305,-0.1730554,-0.103418164,0.008482676,0.1304411,-0.100766465,-0.083307795,-0.023779856,-0.038053293,0.019729929,0.113954596,0.10198042,-0.1327167,-0.0007707344
graphstate_indep_none_10_s11.qasm,graphstate,indep,none,10,0.0148463445,-0.13734046,0.062747546,0.10195842,0.08702665,-0.092766754,0.0152947325,-0.011568478,0.12211556,0.0759663,-0.10102214,0.047714435,-0.10859725,-0.0008957817,-0.1013957,-0.06870084,-0.06459674,0.11998037,-0.009349291,0.160167,-0.098143645,-0.01739705,-0.045473672,-0.08434825,-0.077510305,-0.16211264,0.15640426,0.027520103,0.1994001,0.22390789,0.036442548,0.045600925,0.008426711,-0.0067453436,-0.032916624,-0.079885185,0.18558413,-0.09137678,-0.1438204,0.077499494,-0.10338575,0.112884015,0.126132,-0.058705494,-0.17505006,0.052316993,-0.080312096,0.15372638,0.1490121,0.041746546,-0.04529644,0.0054564085,0.11180404,0.052342337,-0.035639554,0.14753063,-0.03952183,0.21547084,-0.004074863,0.117332734,-0.14581448,0.2078801,-0.06532374,-0.0063903364,-0.09785889,-0.16188854,-0.10195254,0.0127641605,0.061575517,-0.0018765703,0.07061979,0.078186855,-0.24153866,0.0831149,-0.059535928,-0.036549315,-0.15589595,0.015296821,-0.12952605,-0.068668045,0.07871868,0.0070581553,-0.065424934,0.13805582,0.019369233,-0.017946655,-0.13474216,0.11228083,0.029969739,-0.0011160092,0.04676101,-2.2322354e-05,0.18438399,-0.077762485,-0.08930057,-0.17465788,-0.11302454,-0.026237493,0.13500829,-0.12100916,-0.052579794,0.1018297,0.007964052,0.038157973,-0.15561551,0.08290607,0.08398119,0.10708681,0.17517678,0.18785268,0.048954215,0.05284666,0.0379569,0.05054526,0.03261991,-0.17134076,-0.1005601,0.02004986,0.12601587,-0.10314095,-0.08520449,-0.024350258,-0.045019135,0.02858184,0.120894514,0.11159367,-0.13620108,-0.009220887
graphstate_indep_none_10_s12.qasm,graphstate,indep,none,10,0.01915602,-0.13223624,0.061676536,0.09470794,0.08421567,-0.08654311,0.011272288,-0.011949655,0.12167173,0.07574883,-0.104382336,0.04806698,-0.10582421,-0.004731054,-0.10159205,-0.063434124,-0.06652518,0.112143956,-0.0076278565,0.15850107,-0.09773338,-0.020929059,-0.03871978,-0.07906324,-0.071620554,-0.16539961,0.15113164,0.02581001,0.19828656,0.22395113,0.039093614,0.04127636,0.0142699145,-0.0131334,-0.03422394,-0.07532104,0.18162785,-0.08807122,-0.13577133,0.07865424,-0.10248706,0.10652888,0.12366346,-0.052782,-0.16876966,0.05244957,-0.08379045,0.15416937,0.14637218,0.036610406,-0.041539848,0.0061326963,0.1080414,0.054624226,-0.03547281,0.14699706,-0.03026302,0.2128032,-0.006401466,0.117407285,-0.14481711,0.20417328,-0.06257791,-0.009921756,-0.10156549,-0.15793432,-0.09660526,0.005838616,0.060759835,-0.00067513104,0.06645696,0.07656646,-0.23862179,0.078715615,-0.062471848,-0.035285816,-0.16337231,0.017843606,-0.12589186,-0.06734409,0.077636965,0.013334913,-0.06030639,0.13606389,0.021380268,-0.015007843,-0.13788658,0.113399535,0.03555421,-0.0024665114,0.0473043,-0.00389126,0.18162356,-0.076128915,-0.086372696,-0.1732458,-0.113515444,-0.029000789,0.13423528,-0.12102094,-0.058461547,0.09827872,0.0070296144,0.04040879,-0.15230319,0.08320836,0.083007395,0.10606137,0.17109472,0.1833956,0.051980678,0.050140202,0.04123444,0.046506166,0.03184589,-0.17235126,-0.102667086,0.012688617,0.12823333,-0.10155395,-0.083979085,-0.023620527,-0.040186796,0.022296134,0.11672711,0.105636895,-0.13398169,-0.004007635
graphstate_indep_none_10_s13.qasm,graphstate,indep,none,10,0.01945556,-0.13137263,0.059173364,0.09705213,0.08421876,-0.08800019,0.010325769,-0.013640139,0.12058391,0.07441215,-0.10228988,0.04862601,-0.10703295,-0.0066302237,-0.1007186,-0.06299596,-0.06641983,0.11096723,-0.0060153985,0.1570921,-0.09665589,-0.02049012,-0.03932834,-0.078166656,-0.07150792,-0.16389458,0.15289965,0.025906015,0.19493127,0.22303306,0.03821774,0.04126494,0.014537035,-0.0135978125,-0.03329471,-0.074954435,0.17949267,-0.088581264,-0.13594863,0.07712618,-0.099912286,0.104502566,0.121905476,-0.053845923,-0.16735391,0.05125737,-0.08241361,0.15278758,0.14722124,0.03840975,-0.039857063,0.0049844673,0.10708418,0.051430658,-0.033701558,0.14488414,-0.030928276,0.21109056,-0.007077103,0.116043955,-0.14159316,0.20243528,-0.061630327,-0.009637031,-0.09963636,-0.15751424,-0.09653294,0.00709818,0.059963994,0.00071592047,0.067657545,0.07591197,-0.23618396,0.07602754,-0.058339562,-0.03424256,-0.16035311,0.01660409,-0.12368478,-0.06749909,0.075550556,0.013147967,-0.058135226,0.13552076,0.021077793,-0.014415001,-0.13711084,0.11085343,0.035968646,-0.0038110465,0.047598157,-0.003914586,0.18241371,-0.07633328,-0.08731369,-0.17197202,-0.110329896,-0.030659232,0.13127412,-0.11721643,-0.05736837,0.100058295,0.0067691174,0.042581636,-0.15157421,0.08312014,0.08073183,0.10572451,0.16904609,0.18189427,0.05331617,0.048194688,0.04211425,0.04737453,0.029333107,-0.16806842,-0.10021206,0.012108141,0.13000314,-0.099700354,-0.08419688,-0.025979241,-0.039601173,0.021592874,0.11654837,0.10466108,-0.1295996,-0.003910731
graphstate_indep_none_10_s14.qasm,graphstate,indep,none,10,0.016184336,-0.1359968,0.06303152,0.097975284,0.08586773,-0.08973325,0.014347,-0.010767268,0.12271472,0.07651717,-0.10296448,0.04731851,-0.107293785,-0.0012608916,-0.101943664,-0.067188986,-0.06625172,0.11661336,-0.009390432,0.16024595,-0.098241985,-0.018569497,-0.043308638,-0.082559854,-0.07513762,-0.16427135,0.15426019,0.026192771,0.20006505,0.22385979,0.037270013,0.04432064,0.009516696,-0.008560563,-0.033106644,-0.07836919,0.18435186,-0.089637734,-0.14079982,0.07834553,-0.10360789,0.11229106,0.1256843,-0.056604035,-0.17254208,0.052732334,-0.0815694,0.15446839,0.1476641,0.03903361,-0.04409186,0.005902325,0.11031547,0.05391595,-0.035970554,0.14834484,-0.035701964,0.21481249,-0.0045093796,0.117890954,-0.146882,0.20674281,-0.065184936,-0.0076820455,-0.09990277,-0.16036388,-0.09962097,0.009973997,0.061852507,-0.0026650536,0.06869995,0.07843961,-0.2421524,0.081992276,-0.061738048,-0.036308482,-0.16035742,0.016775094,-0.12950002,-0.068463,0.07892359,0.009789239,-0.06439811,0.13644534,0.02008191,-0.016489686,-0.13604707,0.11287907,0.03174703,-0.000398164,0.04707855,-0.001413691,0.18277492,-0.07635126,-0.08774254,-0.17499322,-0.114583954,-0.026761025,0.13614565,-0.122223005,-0.05526655,0.10003959,0.006804906,0.038357005,-0.15482315,0.0829992,0.08499291,0.10662216,0.1740536,0.18571462,0.048786983,0.051650167,0.038843527,0.04847754,0.03298849,-0.17357434,-0.10234054,0.01751322,0.12517174,-0.10229898,-0.084139556,-0.022424705,-0.043699488,0.026556144,0.11898262,0.109235995,-0.13766743,-0.0068058735
graphstate_indep_none_10_s15.qasm,graphstate,indep,none,10,0.018839523,-0.13176721,0.060250357,0.09621953,0.08407551,-0.08832216,0.011233025,-0.012021942,0.12080945,0.0747376,-0.10231916,0.047191128,-0.10683589,-0.0054512536,-0.10118471,-0.06334095,-0.06633678,0.10984668,-0.0070165046,0.1584444,-0.09644454,-0.020523168,-0.03915434,-0.07888109,-0.0718979,-0.16372909,0.1533991,0.025527172,0.19614011,0.22147663,0.037811793,0.041408416,0.012794878,-0.012805766,-0.032466352,-0.074772276,0.17940784,-0.08853628,-0.13617058,0.07676607,-0.100002065,0.1056102,0.122775465,-0.054272354,-0.16807108,0.05143283,-0.08184675,0.1536051,0.14664519,0.038234927,-0.03975773,0.0056347675,0.10771675,0.05182998,-0.034311995,0.1462553,-0.031130169,0.2121138,-0.0061052972,0.116870284,-0.14316113,0.20311987,-0.062349558,-0.009633258,-0.10048159,-0.15718988,-0.096577935,0.006952789,0.059935868,0.00036305768,0.0675378,0.07575245,-0.23711433,0.07656182,-0.05921507,-0.034543294,-0.16020568,0.017224008,-0.12487236,-0.06728539,0.076251104,0.012856122,-0.059392724,0.13359037,0.02045758,-0.014594817,-0.13708897,0.11153366,0.035522494,-0.0021226192,0.047454443,-0.0034972383,0.18169148,-0.07546281,-0.087065846,-0.17231975,-0.11206444,-0.029705686,0.13230652,-0.11848365,-0.05711835,0.09908411,0.0063222847,0.041324742,-0.15160838,0.082314715,0.082407944,0.105413914,0.16986647,0.1820823,0.051819548,0.047327917,0.04071239,0.047922824,0.030658253,-0.16934015,-0.10106179,0.012800266,0.1279182,-0.099422604,-0.084011406,-0.024090488,-0.039934263,0.021683594,0.116899475,0.10470126,-0.13144344,-0.0043408745
graphstate_indep_none_10_s16.qasm,graphstate,indep,none,10,0.016011614,-0.13540933,0.061781567,0.099511206,0.08498646,-0.09185375,0.014329755,-0.010529663,0.12166517,0.07534774,-0.10085787,0.0462565,-0.10819756,-0.002337161,-0.10216108,-0.06656873,-0.065562114,0.11431266,-0.009111719,0.16060708,-0.09648812,-0.018873055,-0.042885438,-0.0823714,-0.07539735,-0.16223884,0.15660347,0.026232187,0.19777739,0.22115621,0.036313187,0.04361824,0.008489183,-0.008807988,-0.031046377,-0.07770858,0.18197715,-0.090108395,-0.14082819,0.07586959,-0.10077041,0.11060969,0.12547988,-0.057865825,-0.17258137,0.052171685,-0.079674795,0.1542609,0.1477979,0.040328156,-0.04234565,0.0055709425,0.11050966,0.050707083,-0.035356637,0.14752927,-0.036158457,0.21432845,-0.004279947,0.11797313,-0.14507186,0.20556009,-0.064751275,-0.007730948,-0.0993758,-0.15960757,-0.09941267,0.010426033,0.060577836,-0.001111413,0.06961621,0.07720468,-0.23993704,0.0798052,-0.058745462,-0.03577543,-0.15689695,0.01625603,-0.1278674,-0.068384394,0.0782149,0.009139229,-0.06337257,0.13395347,0.019198861,-0.016538125,-0.13571693,0.11195127,0.03271483,-0.00043396818,0.046861008,-0.0013436414,0.18305156,-0.076297335,-0.088680476,-0.17376162,-0.11348952,-0.027317252,0.134018,-0.120393485,-0.054375958,0.10077451,0.006431524,0.039264526,-0.1537129,0.08212528,0.08457039,0.10583798,0.17289537,0.18502125,0.04951566,0.048254505,0.03848501,0.049936153,0.031981032,-0.17080729,-0.100697964,0.017495207,0.12535638,-0.1004353,-0.08453779,-0.023195751,-0.042793576,0.02486605,0.11944544,0.10839304,-0.1341618,-0.007367597
graphstate_indep_none_10_s17.qasm,graphstate,indep,none,10,0.018945364,-0.13318458,0.06192353,0.09421384,0.08399823,-0.08593857,0.011633467,-0.011890113,0.12262322,0.07643114,-0.10513762,0.04858807,-0.10572584,-0.0040186066,-0.10228169,-0.06400094,-0.06747041,0.11355489,-0.008071895,0.15869877,-0.09812829,-0.020838333,-0.039540805,-0.07907735,-0.071565,-0.16677158,0.15084778,0.025482766,0.19872323,0.22553179,0.039185498,0.041604444,0.014198846,-0.0128946835,-0.034471028,-0.07630853,0.18258893,-0.08771545,-0.13606706,0.07929973,-0.103351325,0.10842007,0.1243617,-0.052934393,-0.16893484,0.05315431,-0.08421794,0.15433548,0.14652717,0.03571669,-0.04244803,0.0056944354,0.107885085,0.0549896,-0.035824563,0.14734678,-0.030177865,0.21270844,-0.0064753955,0.11785816,-0.14561324,0.20413081,-0.06341945,-0.009849954,-0.101896636,-0.15865135,-0.09635052,0.0058557484,0.061583366,-0.00202914,0.06628967,0.077972665,-0.24031721,0.079420015,-0.063421145,-0.035715565,-0.16549248,0.01790482,-0.12681498,-0.06822061,0.078494735,0.013582041,-0.060858626,0.1369828,0.02186678,-0.014892727,-0.138163,0.11365329,0.035596736,-0.0024050656,0.04733601,-0.004164573,0.18184431,-0.07638461,-0.08629046,-0.17431225,-0.11406718,-0.028800722,0.13555606,-0.12224448,-0.05926321,0.09878894,0.0065140724,0.040418394,-0.1532011,0.08406039,0.083554775,0.10625994,0.17124987,0.18329771,0.051793918,0.05072327,0.042038444,0.045530006,0.03180659,-0.17413518,-0.10316245,0.013006992,0.12781677,-0.10182238,-0.08381346,-0.023247883,-0.040716454,0.02280382,0.11643533,0.10606832,-0.13546082,-0.003455013
