file,algo,level,target,n,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
graphstate_indep_none_10_s0.qasm,graphstate,indep,none,10,-0.880677,-0.59834415,-0.9210732,0.21351542,0.49344698,-0.8188951,0.107255146,0.5104535,-0.9055812,-0.46638167,-0.7940032,0.7844497,-0.12922214,0.011744235,-1.1068622,-1.4742959,0.2681461,1.359832,1.0491289,0.0031835171,0.8246801,0.2405125,-0.5284024,1.7546185,0.27659318,-1.7002479,-0.61526024,0.33132395,-0.30085242,1.050893,0.68371797,0.48325646,-0.521593,-0.33484444,0.7696052,-0.45304775,-0.51990896,-0.02876658,-0.69555616,0.05911937,0.58072746,0.120419554,0.5747983,0.40883127,-0.9320545,-0.023779247,0.8956762,-0.53277117,0.36558366,0.43723652,1.0762099,0.28925118,0.11956111,0.20193125,-0.6039719,-0.30576646,0.01385149,0.5010652,-2.1105833,-1.6621988,-0.74897623,1.1161183,1.3049664,0.65321195,0.38464412,-0.8431034,-0.6956605,0.28545797,-1.291044,0.8369839,0.23905523,-0.04063114,-0.74572206,0.57185864,-1.1818355,-0.953242,0.13820681,-0.5252537,0.7257955,0.21235591,-1.5125012,0.44223773,0.06620375,-0.33341727,1.5727401,-0.78424007,0.043740675,0.6366229,0.01742663,-0.57856965,0.06734201,1.522552,-0.4834844,-0.009779094,-0.30062553,-1.0937287,-0.39948058,-0.049636167,0.6874078,0.12806772,-0.6682626,-1.5854554,2.0686061,1.4347304,0.6562179,-1.5307394,-0.5236988,-0.8611306,1.1197737,1.3082829,0.82637984,1.2291921,0.9834415,-0.5740397,-0.7357643,1.3838373,0.23799573,-0.37914398,0.1275477,0.4429406,1.271052,-0.33487982,-0.35217437,-1.278442,-0.34267265,-0.41176435,-0.9647454,-0.57129234
graphstate_indep_none_10_s1.qasm,graphstate,indep,none,10,-0.8805496,-0.5978836,-0.92147416,0.21143396,0.49217975,-0.8166407,0.1085757,0.51021993,-0.9025703,-0.4665334,-0.7906422,0.78636605,-0.12914427,0.010999978,-1.1095178,-1.4740927,0.2689835,1.3619363,1.0505905,0.005381581,0.82229227,0.2389617,-0.5312536,1.7534518,0.27711508,-1.698646,-0.61528766,0.33100942,-0.2994346,1.0479653,0.6805248,0.486112,-0.52136207,-0.3345456,0.77078646,-0.45039585,-0.52073455,-0.025999678,-0.6932478,0.062103227,0.5806799,0.11623798,0.5734953,0.4042643,-0.9300696,-0.025629083,0.892704,-0.530668,0.36447603,0.43890184,1.0743893,0.29001483,0.119460836,0.20138277,-0.60248727,-0.3068031,0.014753169,0.49730766,-2.110898,-1.6583374,-0.7490405,1.1149231,1.3046652,0.65295863,0.37855816,-0.8398613,-0.6961027,0.2884839,-1.2836698,0.8368509,0.2420276,-0.043271646,-0.7439784,0.57343733,-1.1778045,-0.952045,0.13680765,-0.52261996,0.7270839,0.21143702,-1.5097224,0.4464819,0.066561446,-0.33278027,1.5668349,-0.7841265,0.042813778,0.6377794,0.014743742,-0.5773084,0.066061765,1.5232432,-0.48262876,-0.0075595346,-0.29818946,-1.0936203,-0.39462233,-0.050018713,0.6874887,0.12713252,-0.665425,-1.5827507,2.0668077,1.4321789,0.6570909,-1.5283968,-0.52290726,-0.85829777,1.1195813,1.3077154,0.8248449,1.2282823,0.9831088,-0.57096267,-0.7329787,1.3813195,0.24049833,-0.3795297,0.12603958,0.44194597,1.2731997,-0.3353836,-0.35154468,-1.2781988,-0.3429128,-0.4084467,-0.966218,-0.5707033
graphstate_indep_none_10_s10.qasm,graphstate,indep,none,10,-0.880234,-0.5973895,-0.92072463,0.21062481,0.49316394,-0.8164217,0.11064039,0.50708526,-0.9017928,-0.46989673,-0.79154205,0.78725666,-0.12927091,0.010179089,-1.1078048,-1.4771019,0.26954198,1.3648195,1.0483905,0.004710151,0.82001567,0.23695871,-0.531399,1.754233,0.27692422,-1.6958814,-0.6153272,0.33291218,-0.29864252,1.0491484,0.68065614,0.4884686,-0.5234369,-0.3334763,0.7703843,-0.45145184,-0.5213601,-0.024377836,-0.6907638,0.06149276,0.5825683,0.10954121,0.5735137,0.40141022,-0.93231267,-0.02715422,0.89147633,-0.5274051,0.3604152,0.44232893,1.0745902,0.28827915,0.12100346,0.19903634,-0.60478145,-0.30821425,0.016535878,0.4920456,-2.1089923,-1.6554368,-0.7492187,1.10949,1.3050592,0.6542246,0.3791213,-0.8398391,-0.69570273,0.2876612,-1.281462,0.83444977,0.24527141,-0.043782607,-0.7433872,0.5754616,-1.1754066,-0.9567014,0.136446,-0.517111,0.7263565,0.20876606,-1.5095711,0.44818532,0.06565896,-0.33471945,1.5635362,-0.7844934,0.03948382,0.6382399,0.011271215,-0.5752826,0.0646666,1.5248748,-0.48281178,-0.0031271188,-0.29787844,-1.0948077,-0.39723396,-0.05065297,0.68815035,0.12853378,-0.6625097,-1.5842974,2.065837,1.4319646,0.6603782,-1.5281353,-0.5223874,-0.85573345,1.1199017,1.3063082,0.8263392,1.2246401,0.9811785,-0.5708711,-0.729617,1.3795239,0.2418986,-0.37980115,0.12284945,0.44130462,1.2749419,-0.3351347,-0.35543033,-1.276368,-0.34086862,-0.40712744,-0.9680023,-0.5702917
graphstate_indep_none_10_s11.qasm,graphstate,indep,none,10,-0.8808965,-0.596483,-0.9203756,0.21450365,0.49420083,-0.82017684,0.103445694,0.51306695,-0.90661216,-0.46658128,-0.791945,0.78462446,-0.12983786,0.011392448,-1.1086917,-1.4720757,0.26624355,1.3588605,1.0513566,0.0020770298,0.8252948,0.24250017,-0.52788305,1.7547477,0.27876195,-1.7027582,-0.6142679,0.3315151,-0.30020517,1.0523269,0.68304306,0.4840773,-0.52256733,-0.33784124,0.76805335,-0.44995037,-0.52136314,-0.030822018,-0.7005173,0.059588976,0.5799701,0.12667531,0.5752653,0.4110537,-0.9300382,-0.023099316,0.89946485,-0.5376843,0.3689013,0.4343089,1.0756627,0.29200536,0.12023425,0.20249745,-0.603,-0.30416635,0.012201058,0.5055274,-2.1118298,-1.6640118,-0.74823105,1.1192118,1.3054173,0.6542628,0.38108993,-0.8420988,-0.6947659,0.28649208,-1.2908959,0.83668983,0.23697536,-0.042500418,-0.74526125,0.5703242,-1.1851734,-0.9501742,0.13707705,-0.52862954,0.7271463,0.21386114,-1.5114739,0.44075483,0.067797594,-0.3314473,1.5745567,-0.7849662,0.04515983,0.63477486,0.020239906,-0.58352095,0.06870462,1.5240582,-0.48316124,-0.013934296,-0.29934844,-1.0907928,-0.39565223,-0.048782505,0.68742126,0.12685508,-0.6688608,-1.5850459,2.0674412,1.4363428,0.6527725,-1.530521,-0.52173597,-0.86121464,1.1228596,1.308014,0.8242892,1.2321539,0.9836171,-0.5734111,-0.7383301,1.3869014,0.23638837,-0.37829196,0.13016978,0.44368613,1.2727519,-0.33465278,-0.35018167,-1.2813598,-0.34095103,-0.41442624,-0.96556515,-0.5702516
graphstate_indep_none_10_s12.qasm,graphstate,indep,none,10,-0.8796756,-0.5983059,-0.92201424,0.21233128,0.4913935,-0.8155198,0.10950684,0.50909495,-0.90153337,-0.46500477,-0.79103935,0.78511596,-0.12976247,0.011979203,-1.1076901,-1.474711,0.26829085,1.3603219,1.0488781,0.006559362,0.8214931,0.23834968,-0.5312681,1.7524886,0.2766827,-1.6978792,-0.61567235,0.33079565,-0.29895598,1.0475094,0.68039966,0.485807,-0.52113587,-0.33266056,0.771609,-0.45046383,-0.51996934,-0.024673939,-0.69165653,0.061234064,0.58060485,0.1151118,0.5731979,0.4039811,-0.9302239,-0.026991645,0.89288586,-0.52977806,0.3642199,0.4397903,1.0749097,0.28837925,0.11929752,0.20095178,-0.6031476,-0.30797964,0.014826179,0.49585757,-2.1094813,-1.6577257,-0.74743575,1.1130084,1.3039823,0.6518119,0.3807418,-0.839284,-0.6966247,0.2878674,-1.2839928,0.83707047,0.24231774,-0.04266168,-0.744375,0.57380426,-1.1759272,-0.9511724,0.13726388,-0.52086174,0.7261374,0.21020323,-1.5085332,0.4457437,0.06573526,-0.33277988,1.5661879,-0.7839507,0.042246163,0.6376661,0.014402055,-0.57607204,0.06668666,1.5216677,-0.4820558,-0.006865659,-0.29820454,-1.0940523,-0.39647472,-0.05022398,0.6866028,0.1271907,-0.66519684,-1.5820231,2.066223,1.4308944,0.65698314,-1.5274323,-0.523546,-0.8586421,1.1189438,1.3069851,0.82599956,1.2265397,0.98230785,-0.5715873,-0.732352,1.3799392,0.24100086,-0.38111818,0.12617204,0.4419482,1.271607,-0.33526102,-0.35216936,-1.2777234,-0.34418786,-0.4073006,-0.9659398,-0.5706208
graphstate_indep_none_10_s13.qasm,graphstate,indep,none,10,-0.87382877,-0.59739643,-0.916487,0.210378,0.49723285,-0.81747806,0.09646771,0.513396,-0.90608066,-0.47208917,-0.7842613,0.7778848,-0.13830873,0.008708272,-1.1142873,-1.4631763,0.26349008,1.3561879,1.053563,0.0071221325,0.81793225,0.2550917,-0.53006953,1.752671,0.27733654,-1.6997999,-0.6183597,0.33101463,-0.30564007,1.0421386,0.6828624,0.48160043,-0.5186881,-0.3338743,0.7671726,-0.44616413,-0.51893073,-0.035248246,-0.7063186,0.056006074,0.5812267,0.124143206,0.5708931,0.40386823,-0.9280366,-0.030454397,0.9013721,-0.540526,0.37004364,0.4378811,1.0732666,0.29944286,0.11915824,0.19494902,-0.61349106,-0.31522,0.0062239105,0.5126741,-2.1006382,-1.6607167,-0.7358911,1.1098418,1.2963957,0.6504147,0.3775872,-0.8383968,-0.6900007,0.28978482,-1.286408,0.84182966,0.24733707,-0.04923387,-0.7494767,0.5696799,-1.1774448,-0.94574857,0.123109475,-0.5312556,0.73289055,0.20976494,-1.5080743,0.44596067,0.07254623,-0.32743284,1.5754104,-0.7936181,0.046552613,0.6278335,0.018562177,-0.5841848,0.07148372,1.5204344,-0.484675,-0.008006196,-0.2904617,-1.0830312,-0.39782542,-0.05283336,0.6942991,0.12085487,-0.66554046,-1.5816331,2.0547154,1.4325219,0.6498406,-1.5193157,-0.51780033,-0.8569194,1.1236975,1.304755,0.8284905,1.2359577,0.97833675,-0.57065576,-0.738131,1.3841223,0.2378512,-0.3817087,0.13483085,0.4394021,1.2786092,-0.33400673,-0.35182077,-1.2857498,-0.3268254,-0.40515,-0.97069,-0.5586493
graphstate_indep_none_10_s14.qasm,graphstate,indep,none,10,-0.88027674,-0.59845185,-0.9221219,0.21213858,0.49070275,-0.8153815,0.10851141,0.51008004,-0.90185493,-0.46536413,-0.78976583,0.7855824,-0.12918313,0.011198819,-1.1100465,-1.4737688,0.26838654,1.361033,1.050527,0.0068077347,0.8201883,0.23767103,-0.5327257,1.7512288,0.2769596,-1.6978889,-0.6146853,0.33040926,-0.29834476,1.0463641,0.6787951,0.48612085,-0.52002776,-0.33351493,0.7731998,-0.44985116,-0.520869,-0.024444886,-0.6910008,0.06307295,0.58016443,0.116388,0.57269543,0.40185678,-0.9302175,-0.02687747,0.8922706,-0.5287397,0.36389863,0.43843445,1.0738709,0.28939357,0.11993228,0.20037772,-0.6019401,-0.30839163,0.0151912505,0.49463674,-2.1101859,-1.6567885,-0.7488607,1.1141287,1.3054724,0.6517077,0.37863988,-0.8380091,-0.6953932,0.2893787,-1.2818851,0.8375236,0.24101287,-0.043050613,-0.7437501,0.5729647,-1.1762769,-0.9511626,0.13666452,-0.5212247,0.7272213,0.20985124,-1.508172,0.44597352,0.0645659,-0.3329091,1.5654297,-0.78417134,0.04334812,0.63809216,0.013676335,-0.5763228,0.06587361,1.5220819,-0.48057285,-0.007625101,-0.298001,-1.094719,-0.3936962,-0.049999777,0.68659884,0.12669113,-0.66630685,-1.5813305,2.0655637,1.4302647,0.6573511,-1.5279777,-0.5226646,-0.85836935,1.1194582,1.3078117,0.82580376,1.226893,0.98299915,-0.5706994,-0.7320307,1.3796232,0.24200031,-0.38121772,0.12570037,0.44164264,1.271982,-0.3362466,-0.35013315,-1.2779069,-0.3441324,-0.40697563,-0.9659439,-0.57145494
graphstate_indep_none_10_s15.qasm,graphstate,indep,none,10,-0.87282795,-0.59735155,-0.9174648,0.20919105,0.4951183,-0.81406,0.09876314,0.5120238,-0.901982,-0.47065163,-0.78125954,0.77857435,-0.13884537,0.008948518,-1.1151168,-1.4636157,0.26362297,1.35666,1.0533248,0.010557483,0.8147042,0.25288692,-0.53300226,1.7505076,0.2774259,-1.6974168,-0.6187812,0.3304552,-0.30369806,1.0387149,0.6794901,0.48419318,-0.51821154,-0.33165857,0.7692331,-0.44352573,-0.5190098,-0.031089365,-0.70236015,0.058151238,0.58107936,0.118801035,0.56926227,0.39896423,-0.9261676,-0.033701062,0.8985608,-0.53748053,0.3686948,0.4404382,1.0719472,0.29854357,0.11888368,0.19396111,-0.61262864,-0.3174314,0.007232454,0.50737464,-2.0995457,-1.6562006,-0.7343364,1.1067357,1.2954104,0.64896345,0.3736451,-0.8345219,-0.69099116,0.29222548,-1.2792716,0.8419015,0.25058824,-0.051290546,-0.7481103,0.57162845,-1.1714845,-0.9436264,0.12218812,-0.5268079,0.7332241,0.20758788,-1.5040605,0.44949,0.07204359,-0.32678306,1.5687904,-0.7933156,0.045061663,0.62891483,0.015511519,-0.58165824,0.07083982,1.519527,-0.4832112,-0.005103636,-0.28801462,-1.0833666,-0.3947696,-0.053414103,0.6934407,0.119950294,-0.6624711,-1.5781478,2.0523036,1.4286239,0.65062284,-1.5159838,-0.5176679,-0.8544167,1.1228532,1.3034674,0.8281133,1.23327,0.9772094,-0.5681738,-0.73468626,1.3801885,0.24090116,-0.38371283,0.13345541,0.43841267,1.2791392,-0.33440465,-0.35178345,-1.2850511,-0.3284014,-0.40065387,-0.9719053,-0.5580015
graphstate_indep_none_10_s16.qasm,graphstate,indep,none,10,-0.8732198,-0.5978681,-0.9195453,0.21100515,0.49252945,-0.81422544,0.09895175,0.51269794,-0.9020059,-0.46754396,-0.78144157,0.7778236,-0.13889307,0.009578321,-1.1151918,-1.4641633,0.26200235,1.3545023,1.0537963,0.0118966205,0.81387305,0.2516625,-0.53464246,1.7490597,0.27724615,-1.6977962,-0.61851627,0.32900226,-0.30238014,1.0382533,0.6783278,0.4840926,-0.51637995,-0.3305987,0.77292305,-0.44196406,-0.5195962,-0.02977287,-0.7004354,0.058923595,0.57950926,0.1217569,0.5692519,0.3983811,-0.92609,-0.033729263,0.9000419,-0.5365026,0.37048224,0.43876675,1.0730536,0.2972322,0.11894402,0.19390497,-0.6109384,-0.31689268,0.0077672135,0.50526667,-2.1002095,-1.6570742,-0.73428535,1.1088519,1.297664,0.64648366,0.37544796,-0.83340263,-0.6913966,0.29245508,-1.2798193,0.8418169,0.246476,-0.050341018,-0.7486772,0.5703547,-1.17193,-0.94222695,0.12347122,-0.5261329,0.73223555,0.20680128,-1.5035765,0.44694388,0.069336675,-0.32671785,1.5696632,-0.7930968,0.046966538,0.63015616,0.015963605,-0.5818554,0.072308175,1.5178103,-0.48019075,-0.008204001,-0.2883411,-1.0851107,-0.39423004,-0.05233726,0.6908666,0.11941317,-0.6659206,-1.5771002,2.0519197,1.4275256,0.64981973,-1.5172975,-0.5187032,-0.8561596,1.1228955,1.305257,0.8296555,1.2324576,0.9781581,-0.5693317,-0.7355173,1.3798158,0.24179833,-0.3855685,0.13423389,0.43898776,1.2759616,-0.33545598,-0.3496893,-1.2870749,-0.33214414,-0.40084743,-0.9714546,-0.5607098
graphstate_indep_none_10_s17.qasm,graphstate,indep,none,10,-0.8806494,-0.5992967,-0.9238788,0.21238779,0.48924202,-0.815593,0.1118287,0.50787985,-0.9016482,-0.46418858,-0.7921545,0.7857804,-0.12846462,0.011675947,-1.1077193,-1.477208,0.26875106,1.3614224,1.0488876,0.007419682,0.8200841,0.23539829,-0.5335342,1.7519301,0.27568105,-1.6964993,-0.61552745,0.3299912,-0.2976095,1.0470022,0.6795082,0.486436,-0.5196349,-0.3311663,0.7751601,-0.45145118,-0.52069366,-0.022571279,-0.6871481,0.062534325,0.5800028,0.112938285,0.57289183,0.4010758,-0.93173575,-0.02680936,0.8914423,-0.52525663,0.36260593,0.44008744,1.0756124,0.2861414,0.11978143,0.20027767,-0.6020259,-0.30802286,0.017036928,0.49017927,-2.1101773,-1.656645,-0.7498195,1.1133649,1.3068008,0.65033257,0.38247335,-0.8389924,-0.6968304,0.28791514,-1.2830003,0.83628815,0.240256,-0.04133927,-0.7445732,0.57355684,-1.1754098,-0.9539517,0.1388945,-0.51788914,0.7251982,0.20858705,-1.5095327,0.44547468,0.06230088,-0.33447206,1.5651128,-0.78345996,0.04273261,0.6405008,0.012125539,-0.57345843,0.06587631,1.5211828,-0.47989935,-0.0067992457,-0.29919574,-1.097424,-0.3969803,-0.04980181,0.6849193,0.12764952,-0.6672448,-1.5823331,2.0669012,1.429516,0.6599429,-1.5295625,-0.52496505,-0.8590052,1.1177298,1.309138,0.82799447,1.2241958,0.9831879,-0.57223725,-0.73064005,1.3781976,0.24306685,-0.38219747,0.12376216,0.4420769,1.2695351,-0.33666036,-0.35171098,-1.2774272,-0.34701055,-0.40679744,-0.96574855,-0.5740185
