file,algo,level,target,n,seed_idx,interaction_edges,num_qubits,depth,size,num_2q_gates,program_communication,critical_depth,entanglement_ratio,parallelism,liveness,fiedler_topology,spectral_entropy_topology,laplacian_max_eig_topology,spectral_gap_ratio_topology,effective_resistance,log_spanning_trees,laplacian_energy,von_neumann_entropy,fiedler_2q_weighted,spectral_entropy_2q_weighted,gini_2q_multiplicity,edge_weight_mean_2q,edge_weight_max_2q,log_estrada_index,graph_density,graph_diameter,avg_clustering,n_components,max_degree,degree_variance,assortativity,num_triangles,twoq_temporal_locality,gate_entropy,num_unique_gates,depth_per_qubit,fiedler_at_half_depth,time_to_connected,has_2q_interactions,n_rotation_gates,mean_abs_angle,std_angle,sum_sin_sq_half,mean_angle_squared,angle_position_weighted,n_qubits,device,status,pre_routing_depth,pre_routing_2q,bare_routed_2q,bare_routed_depth,bare_n_active,mirror_routed_2q,mirror_routed_depth,mirror_n_active,mirror_over_bare_2q,err
graphstate_indep_none_10_s0.qasm,graphstate,indep,none,10,0,"[[0, 3], [0, 5], [0, 7], [1, 2], [1, 4], [1, 6], [2, 3], [2, 8], [3, 5], [4, 6], [4, 9], [5, 8], [6, 9], [7, 8], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,0.5618771113072595,2.079209495858179,5.480114069417817,0.1025301853556035,4.2589655172413785,7.0561752841004095,30.000000000000007,2.9417916215702085,0.5618771113072595,2.079209495858179,0.0,1.0,1.0,3.6992618916358992,0.3333333333333333,4.0,0.3,1.0,3.0,0.0,0.0,3.0,0.0,0.6730116670092565,2.0,0.9,3.0672191694118216e-16,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,8.0,15.0,45.0,84.0,12.0,76.0,118.0,10.0,1.6888888888888889,
graphstate_indep_none_10_s1.qasm,graphstate,indep,none,10,1,"[[0, 4], [0, 6], [0, 8], [1, 2], [1, 6], [1, 7], [2, 6], [2, 8], [3, 4], [3, 5], [3, 9], [4, 8], [5, 7], [5, 9], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,0.5857864376269045,2.0756393143589205,5.000000000000004,0.1171572875253808,4.316666666666666,6.984716320118268,30.000000000000004,2.931081077072433,0.5857864376269045,2.0756393143589205,0.0,1.0,1.0,3.723161921416239,0.3333333333333333,3.0,0.4,1.0,3.0,0.0,0.0,4.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,8.0,15.0,48.0,100.0,10.0,78.0,145.0,13.0,1.625,
graphstate_indep_none_10_s10.qasm,graphstate,indep,none,10,10,"[[0, 2], [0, 3], [0, 7], [1, 4], [1, 8], [1, 9], [2, 6], [2, 8], [3, 5], [3, 8], [4, 5], [4, 7], [5, 6], [6, 9], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,1.4384471871911697,2.095857817720148,5.56155281280883,0.2586412887922735,3.358333333333333,7.560080465021827,30.0,2.991736587156113,1.4384471871911697,2.095857817720148,0.0,1.0,1.0,3.575776088532726,0.3333333333333333,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.6730116670092565,2.0,0.9,0.153534083237023,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,8.0,15.0,54.0,80.0,10.0,111.0,126.0,12.0,2.055555555555556,
graphstate_indep_none_10_s11.qasm,graphstate,indep,none,10,11,"[[0, 2], [0, 3], [0, 7], [1, 5], [1, 7], [1, 8], [2, 5], [2, 6], [3, 6], [3, 9], [4, 5], [4, 6], [4, 8], [7, 9], [8, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,1.3819660112501035,2.093852751745191,5.618033988749897,0.2459874778289857,3.4473684210526327,7.498315870766979,29.999999999999996,2.985721389231244,1.3819660112501035,2.093852751745191,0.0,1.0,1.0,3.596739081970857,0.3333333333333333,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,8.0,15.0,51.0,89.0,10.0,117.0,196.0,10.0,2.294117647058824,
graphstate_indep_none_10_s12.qasm,graphstate,indep,none,10,12,"[[0, 3], [0, 7], [0, 8], [1, 4], [1, 5], [1, 6], [2, 5], [2, 8], [2, 9], [3, 4], [3, 6], [4, 7], [5, 7], [6, 9], [8, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,1.0967880740884484,2.090673161951173,5.709275359436925,0.1921063541409953,3.537931034482757,7.427738840532894,30.0,2.9761826198491903,1.0967880740884484,2.090673161951173,0.0,1.0,1.0,3.617770639684921,0.3333333333333333,3.0,0.1,1.0,3.0,0.0,0.0,1.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,8.0,15.0,48.0,80.0,10.0,80.0,133.0,10.0,1.6666666666666667,
graphstate_indep_none_10_s13.qasm,graphstate,indep,none,10,13,"[[0, 1], [0, 2], [0, 6], [1, 5], [1, 7], [2, 4], [2, 8], [3, 4], [3, 5], [3, 8], [4, 6], [5, 9], [6, 7], [7, 9], [8, 9]]",10.0,10.0,25.0,15.0,0.3333333333333333,0.5333333333333333,0.6,0.1666666666666666,0.5,1.3819660112501055,2.094016353284196,5.999999999999998,0.2303276685416843,3.439393939393938,7.503840746698953,29.999999999999982,2.986212193848259,1.3819660112501055,2.094016353284196,0.0,1.0,1.0,3.594755341487378,0.3333333333333333,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.6730116670092565,2.0,1.0,8.372778066792791e-16,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,9.0,15.0,51.0,78.0,10.0,114.0,217.0,13.0,2.235294117647059,
graphstate_indep_none_10_s14.qasm,graphstate,indep,none,10,14,"[[0, 5], [0, 6], [0, 7], [1, 2], [1, 3], [1, 5], [2, 3], [2, 8], [3, 8], [4, 6], [4, 7], [4, 9], [5, 8], [6, 9], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,0.2215428817416101,2.066365101533088,5.48928857181008,0.0403591246558489,6.86666666666669,6.356107660695884,30.000000000000018,2.903258438594934,0.2215428817416101,2.066365101533088,0.0,1.0,1.0,3.775078669448148,0.3333333333333333,5.0,0.4,1.0,3.0,0.0,0.0,4.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,8.0,15.0,36.0,63.0,10.0,72.0,128.0,10.0,2.0,
graphstate_indep_none_10_s15.qasm,graphstate,indep,none,10,15,"[[0, 1], [0, 3], [0, 9], [1, 5], [1, 7], [2, 3], [2, 4], [2, 8], [3, 8], [4, 6], [4, 8], [5, 6], [5, 9], [6, 7], [7, 9]]",10.0,10.0,25.0,15.0,0.3333333333333333,0.5333333333333333,0.6,0.1666666666666666,0.5,0.5857864376269045,2.0817272447290662,5.813606502648334,0.1007612808606937,4.175490196078433,7.109879463072271,30.000000000000025,2.9493448681828704,0.5857864376269045,2.0817272447290662,0.0,1.0,1.0,3.686622009310692,0.3333333333333333,3.0,0.2,1.0,3.0,0.0,0.0,2.0,0.0,0.6730116670092565,2.0,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,9.0,15.0,45.0,105.0,13.0,87.0,225.0,13.0,1.9333333333333331,
graphstate_indep_none_10_s16.qasm,graphstate,indep,none,10,16,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [2, 3], [2, 8], [3, 4], [3, 9], [4, 7], [5, 6], [5, 9], [6, 8], [6, 9], [7, 8]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,1.0,2.0881704930344784,5.000000000000001,0.1999999999999999,3.6000000000000005,7.377758908227872,29.99999999999999,2.968674613099106,1.0,2.0881704930344784,0.0,1.0,1.0,3.631546993234367,0.3333333333333333,3.0,0.2,1.0,3.0,0.0,0.0,2.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,8.0,15.0,51.0,88.0,10.0,120.0,238.0,10.0,2.3529411764705883,
graphstate_indep_none_10_s17.qasm,graphstate,indep,none,10,17,"[[0, 5], [0, 7], [0, 9], [1, 2], [1, 3], [1, 6], [2, 4], [2, 6], [3, 4], [3, 8], [4, 8], [5, 7], [5, 9], [6, 8], [7, 9]]",10.0,8.0,25.0,15.0,0.3333333333333333,0.4,0.6,0.2361111111111111,0.625,0.0,2.0442680632985475,4.999999999999999,0.0,2.316666666666667,7.965545573129991,29.999999999999996,2.8369673238913133,0.0,2.0442680632985475,0.0,1.0,1.0,3.855741809269408,0.3333333333333333,2.0,0.6,2.0,3.0,0.0,0.0,6.0,0.0,0.6730116670092565,2.0,0.8,1.1102230246251563e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,7.0,15.0,39.0,57.0,10.0,64.0,86.0,10.0,1.641025641025641,
graphstate_indep_none_10_s18.qasm,graphstate,indep,none,10,18,"[[0, 4], [0, 5], [0, 8], [1, 4], [1, 6], [1, 8], [2, 5], [2, 6], [2, 9], [3, 4], [3, 8], [3, 9], [5, 7], [6, 7], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,0.9999999999999996,2.092785257637275,6.000000000000001,0.1666666666666665,3.5333333333333337,7.454719949363999,30.000000000000007,2.982518906907497,0.9999999999999996,2.092785257637275,0.0,1.0,1.0,3.60636806188798,0.3333333333333333,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,8.0,15.0,48.0,78.0,10.0,90.0,152.0,10.0,1.875,
graphstate_indep_none_10_s2.qasm,graphstate,indep,none,10,2,"[[0, 3], [0, 4], [0, 5], [1, 2], [1, 5], [1, 6], [2, 3], [2, 8], [3, 8], [4, 6], [4, 7], [5, 7], [6, 9], [7, 9], [8, 9]]",10.0,12.0,25.0,15.0,0.3333333333333333,0.6666666666666666,0.6,0.1203703703703703,0.4166666666666667,1.120614758428183,2.091339349416753,5.596154676008631,0.2002472810897078,3.50780430984275,7.448333860897473,30.0,2.978181182245929,1.120614758428183,2.091339349416753,0.0,1.0,1.0,3.611011746432949,0.3333333333333333,3.0,0.1,1.0,3.0,0.0,0.0,1.0,0.0,0.6730116670092565,2.0,1.2,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,11.0,15.0,54.0,121.0,10.0,105.0,214.0,10.0,1.9444444444444444,
graphstate_indep_none_10_s3.qasm,graphstate,indep,none,10,3,"[[0, 1], [0, 7], [0, 8], [1, 2], [1, 3], [2, 4], [2, 7], [3, 5], [3, 6], [4, 5], [4, 6], [5, 9], [6, 9], [7, 8], [8, 9]]",10.0,10.0,25.0,15.0,0.3333333333333333,0.5333333333333333,0.6,0.1666666666666666,0.5,0.9223487300524548,2.089424206417515,5.666950403940631,0.1627592733846904,3.637085678549092,7.377133712833955,29.999999999999968,2.9724357532482166,0.9223487300524548,2.089424206417515,0.0,1.0,1.0,3.62917231058114,0.3333333333333333,3.0,0.1,1.0,3.0,0.0,0.0,1.0,0.0,0.6730116670092565,2.0,1.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,9.0,15.0,54.0,91.0,10.0,82.0,156.0,10.0,1.5185185185185186,
graphstate_indep_none_10_s4.qasm,graphstate,indep,none,10,4,"[[0, 1], [0, 4], [0, 9], [1, 2], [1, 3], [2, 5], [2, 7], [3, 4], [3, 8], [4, 6], [5, 8], [5, 9], [6, 7], [6, 9], [7, 8]]",10.0,10.0,25.0,15.0,0.3333333333333333,0.5333333333333333,0.6,0.1666666666666666,0.5,1.3819660112501064,2.095190388275628,5.618033988749895,0.2459874778289863,3.3878256246677303,7.539558829301028,29.999999999999982,2.989734298822556,1.3819660112501064,2.095190388275628,0.0,1.0,1.0,3.582810169994277,0.3333333333333333,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.6730116670092565,2.0,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,FakeBrisbane,routed,9.0,15.0,54.0,91.0,10.0,108.0,201.0,10.0,2.0,
