best_k,silhouette,n_samples,n_features,pca_dims,method,embedding,bic,n_clusters,noise_points,noise_ratio
12,0.2715804735788832,2827,384,384,kmeans,gcn_aug_dropout_and_norm_with_improved_edges_training.csv,,,,
2,0.1984663513706309,2827,384,384,gmm,gcn_aug_dropout_and_norm_with_improved_edges_training.csv,-11185033.55,,,
,,2827,384,,hdbscan,gcn_aug_dropout_and_norm_with_improved_edges_training.csv,,13,221,0.078174744
5,0.6459333245625906,2827,384,384,kmeans,gcn_aug_dropout_and_norm_embeddings.csv,,,,
2,0.48842679140410844,2827,384,384,gmm,gcn_aug_dropout_and_norm_embeddings.csv,-11574159.36,,,
,,2827,384,,hdbscan,gcn_aug_dropout_and_norm_embeddings.csv,,6,9,0.003183587
5,0.5009852421547024,2827,384,384,kmeans,gat_aug_dropout_and_norm_embeddings.csv,,,,
2,0.2716486149466283,2827,384,384,gmm,gat_aug_dropout_and_norm_embeddings.csv,-11515333.08,,,
,,2827,384,,hdbscan,gat_aug_dropout_and_norm_embeddings.csv,,7,142,0.050229925716307036
5,0.6041163859353595,2827,128,128,kmeans,gat_aug_and_dropout_embeddings.csv,,,,
2,0.6030239168531647,2827,128,128,gmm,gat_aug_and_dropout_embeddings.csv,-4029908.823,,,
,,2827,128,,hdbscan,gat_aug_and_dropout_embeddings.csv,,6,79,0.027944818
8,0.4737091145023155,2827,128,128,kmeans,graphsage_aug_and_dropout_embeddings.csv,,,,
3,0.3899283048822855,2827,128,128,gmm,graphsage_aug_and_dropout_embeddings.csv,-3783948.105,,,
,,2827,128,,hdbscan,graphsage_aug_and_dropout_embeddings.csv,,6,34,0.012026883622214362
2,0.25757499112613763,2827,384,384,kmeans,graphsage_aug_dropout_and_norm_with_improved_edges_training.csv,,,,
2,0.029604988596204657,2827,384,384,gmm,graphsage_aug_dropout_and_norm_with_improved_edges_training.csv,-11241485.29,,,
,,2827,384,,hdbscan,graphsage_aug_dropout_and_norm_with_improved_edges_training.csv,,6,560,0.19808984789529538
10,0.3441411332150319,2827,384,384,kmeans,graphsage_aug_dropout_and_norm_embeddings.csv,,,,
2,0.10084743746506285,2827,384,384,gmm,graphsage_aug_dropout_and_norm_embeddings.csv,-11391887.6,,,
,,2827,384,,hdbscan,graphsage_aug_dropout_and_norm_embeddings.csv,,6,99,0.035019455
4,0.5964248215931657,2827,128,128,kmeans,GraphCL_embeddings.csv,,,,
3,0.565810866,2827,128,128,gmm,GraphCL_embeddings.csv,-3826439.007,,,
,,2827,128,,hdbscan,GraphCL_embeddings.csv,,10,90,0.031835868
2,0.3507552534634198,2827,384,384,kmeans,gat_aug_dropout_and_norm_with_improved_edges_training.csv,,,,
2,0.3526862188112628,2827,384,384,gmm,gat_aug_dropout_and_norm_with_improved_edges_training.csv,-11145295.55,,,
,,2827,384,,hdbscan,gat_aug_dropout_and_norm_with_improved_edges_training.csv,,17,95,0.033604528
5,0.9139789910281854,2827,128,128,kmeans,gcn_aug_and_dropout_embeddings.csv,,,,
2,0.8338462680672111,2827,128,128,gmm,gcn_aug_and_dropout_embeddings.csv,-4136635.474,,,
,,2827,128,,hdbscan,gcn_aug_and_dropout_embeddings.csv,,34,350,0.1238061549345596
