file,kmeans_cluster,gmm_cluster,hdbscan_cluster,embedding_file
graphstate_indep_none_10_s0.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s1.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s10.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s11.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s12.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s13.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s14.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s15.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s16.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s17.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s18.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s2.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s3.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s4.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s5.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s6.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s7.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s8.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_10_s9.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_11_s0.qasm,1,1,0,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_11_s1.qasm,1,1,0,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_11_s2.qasm,1,1,0,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_11_s3.qasm,1,1,0,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_11_s4.qasm,1,1,0,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_11_s5.qasm,1,1,0,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s0.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s1.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s10.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s11.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s12.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s13.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s14.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s15.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s16.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s17.qasm,1,1,2,gat_aug_dropout_and_norm_with_improved_edges_training.csv
